death to spies: moment of truth	The Most Mysterious Secret Service Agency of WWII This is a third-person stealth-action game describing the activities of the SMERSH, the most mysterious secret service agency of World War II. Moment of Truth is a sequel to the popular stealth action title Death to Spies.	['Action', 'Stealth', 'World War II', 'Third Person', 'Shooter', 'Singleplayer', 'Atmospheric']	['Single-player', 'Steam Cloud']
champion of the gods	Will you serve the gods or overthrow them? Battle ancient evils and destiny itself in this epic interactive novel inspired by Greek myth.	['RPG', 'Indie', 'Choose Your Own Adventure', 'Text-Based', 'LGBTQ+', 'Choices Matter', 'Female Protagonist', 'Romance', 'Story Rich', 'Interactive Fiction']	['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud']
dungeon rescue	A critically acclaimed roguelite where you can REWIND to find the optimal path through monsters, treasure and secrets. Quick to play. No grinding. No filler. Deep gameplay.	['Dungeon Crawler', 'Roguelite', 'Dog', 'Puzzle', 'Replay Value', 'Turn-Based', 'Roguelike', 'RPG', '2D', 'Cute', 'Funny', 'Multiple Endings', 'Procedural Generation', 'Colorful', 'Pixel Graphics', 'Stylized', 'Retro', 'Grid-Based Movement', 'Singleplayer', 'Difficult']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']
shape of the world	A serene first person exploration game in a surreal, organic world that reacts to your presence. Journey through a psychedelically colorful ecosystem of flourishing flora, rambling waterfalls, burgeoning mountains, glowing monoliths and graceful creatures. A 1-3 hour escape from work, anxiety and stress.	['Casual', 'Indie', 'Nature', 'Atmospheric', 'Walking Simulator', 'Surreal', 'Singleplayer', 'Adventure', 'Relaxing', 'Exploration', 'First-Person', 'Great Soundtrack', 'Colorful']	['Single-player', 'Steam Achievements', 'Full controller support', 'Remote Play on TV']
space pilgrim academy	Latona Research Station has been destroyed by unknown assailants. The only survivor is a young girl who was rescued by the Starship Quicksilver and her renowned captain.	['Adventure', 'Indie', 'RPGMaker', 'Space', 'Story Rich', 'Sci-fi', 'Family Friendly', 'Singleplayer', '2D', 'Female Protagonist', 'Atmospheric', 'RPG', 'Point & Click', 'Great Soundtrack', 'JRPG']	['Single-player', 'Steam Achievements', 'Partial Controller Support']
viktor	"Viktor, a Steampunk Adventure" is a comedy adventure game set in a cartoonish steampunk world. The story follows Viktor, a wild boar who tries to cope with the loss of his job by going on a quest to become a new Emperor of Austria-Hungary.	['Adventure', 'Point & Click', '2D', 'Cute', 'Hand-drawn', 'Political', 'Political Sim', 'Funny', 'Family Friendly', 'Puzzle', 'Steampunk', 'Story Rich', 'Choices Matter', 'Cartoony', 'Colorful', 'Casual', 'Atmospheric', 'Comedy', 'Dark', 'Retro']	['Single-player', 'Steam Achievements']
animal lover	Evil forces have turned these five hunky beefcake time-displaced boys into animals! You've got to help cure them and maybe even fall in love! Mystery! Intrigue! Romance! No furries, despite the title! A dating sim by Wilson Taylor, Maia Gross and Travis Tohill.	['Indie', 'Casual', 'Simulation', 'Visual Novel', 'Otome', 'Female Protagonist', 'Romance', 'Dating Sim', 'Nudity', 'Sexual Content']	['Single-player', 'Steam Achievements', 'Partial Controller Support']
super destronaut	Inspired by an arcade classic, Super Destronaut DX is retro space shooter that pits you against an enemy more dreaded than a UFO, a scoreboard.	['Action', 'Indie', "Shoot 'Em Up"]	['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Leaderboards', 'Remote Play Together']
the evil within		['Gore']	[]
city climber	City Climber is a silly physics-based game about a floppy ragdoll climber, who has to save the world. Find your way through diverse hand-crafted environments and enjoy funny challenges full of falling and destruction.	['Difficult', 'Psychological Horror', 'Singleplayer', 'Physics', 'Funny', 'Horror', 'Platformer', 'Indie', 'Casual', 'Action', 'Adventure', 'Simulation', 'Sports', 'Comedy', 'Parkour', 'Local Co-Op', 'Puzzle', 'Local Multiplayer', '4 Player Local', 'Precision Platformer']	['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Leaderboards', 'Remote Play Together']
bullet hell monday	Beginner Welcome Bullet Hell Shooter. "Chapter Mode", which is starting from a simple stage and gradually becoming more difficult, is recommended for beginners. Once you get used to bullet hell, let's experience full-scale bullet hell in "Challenge Mode".	["Shoot 'Em Up", 'Bullet Hell', 'Top-Down Shooter', 'Tutorial', 'Shooter', 'Arcade', 'Top-Down', 'Controller', '2D', 'Action', 'Abstract', 'Score Attack', 'Psychedelic', 'Singleplayer', 'Indie', 'Great Soundtrack']	['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']
hot shot	Hot Shot Burn is the hilariously violent party brawler that lets you compete in the galaxy's ultimate televised blood sport. Experience crazy couch battles full of ridiculous flukes and insane skill shots for up to 4 players.	['4 Player Local', 'Indie', 'Action', 'Local Multiplayer', 'Multiplayer', 'Funny', 'Arcade', 'Arena Shooter', 'Cartoony', 'Colorful', 'Local Co-Op', 'Co-op', 'Sports', 'Great Soundtrack', '2D', 'Fast-Paced', 'Top-Down Shooter', 'Competitive', 'Controller', 'Casual']	['Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Remote Play Together']
lydia	Award winning emotional visual novel about a little girl in a world of adults. How can you find a monster you can’t see?	['Adventure', 'Indie', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Psychological', 'Atmospheric', 'Great Soundtrack', 'Horror', 'Psychological Horror', 'Visual Novel', 'Survival Horror', 'Mature', '2D', 'Short', 'Dark']	['Single-player', 'Steam Achievements', 'Steam Trading Cards']
ninja	You transfer to a school and start a new school life...all the while hiding you're a genius ninja.	['Free to Play', 'Simulation', 'Anime', 'Nudity', 'Dating Sim', 'Sexual Content', 'Visual Novel', 'Hentai', 'Ninja', 'Cute', 'Psychological Horror']	['Single-player', 'Online PvP', 'Cross-Platform Multiplayer', 'In-App Purchases']
of orcs and men	You have been appointed to fulfill an extremely dangerous mission, deep in enemy territory: to kill one man... the Emperor himself. Lead the revolution of the Orcs and Goblins!	['RPG', 'Action', 'Fantasy', 'Story Rich', 'Third Person', 'Singleplayer', 'Stealth', 'Adventure', 'Dark Fantasy', 'Strategy', 'Controller', 'Great Soundtrack', 'Turn-Based', 'Difficult', 'Action RPG']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']
galactic wars	Galactic Wars EX is a pixel perfect co-op retro arcade shmup retrogaming experience for modern pcs	["Shoot 'Em Up", 'Top-Down Shooter', 'Aliens', 'Local Co-Op', 'Action', 'Retro', 'Arcade', 'Adventure', 'Shooter', '2D', 'Pixel Graphics', 'Top-Down', 'PvE', 'Team-Based', 'Vehicular Combat', 'Co-op', 'Local Multiplayer', 'Multiplayer', 'Singleplayer', 'Co-op Campaign']	['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Remote Play Together']
mega coin squad	Tackle 16 levels in the solo quest for the Mega Coins in this manic 2D platformer from Big Pixel Studios and Adult Swim Games. Or invite your friends over to rob them of victory -- and their coins -- in four different local multiplayer modes.	['Action', 'Indie', 'Local Multiplayer', 'Platformer', '4 Player Local', 'Pixel Graphics']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats', 'Remote Play on TV']
jolly rover	A comedic 2D point and click adventure, featuring a crazy cast of poxy pirate pooches.	['Adventure', 'Point & Click', 'Indie', 'Casual', 'Comedy', 'Pirates', 'Family Friendly', 'Singleplayer', 'Touch-Friendly', 'Puzzle']	['Single-player', 'Steam Achievements', 'Steam Cloud']
haunted halls: green hills sanitarium collector's edition	Explore a decrepit mental asylum and find your missing boyfriend in Haunted Halls – Green Hills Sanitarium!	['Adventure', 'Casual', 'Hidden Object']	['Single-player']
slammed!	Turn a scripted steel-cage wrestling match into a real fight in this 250,000-word interactive novel, the greatest text-based pro-wrestling RPG in the world!	['Indie', 'RPG', 'Choose Your Own Adventure', 'Text-Based', 'Wrestling', 'Female Protagonist', 'Interactive Fiction', 'LGBTQ+']	['Single-player', 'Steam Achievements', 'Captions available', 'Steam Cloud']
aquanox	The water is no longer calm. The undersea world has undergone a transformation from tranquil environment to a place of unspeakable violence, graphic murder and horrific danger.	['Action', 'Underwater', 'Singleplayer', 'Sci-fi', 'Cyberpunk', '6DOF', 'Shooter', 'Simulation', 'Multiplayer', 'Submarine', 'Classic']	['Single-player']
iron crypticle	IRON CRYPTICLE is an arcade twin-stick dungeon shooter with RPG elements for 1 to 4 players LOCAL CO-OP! A mysterious, malevolent force has abducted Cryptonia’s princess – along with the king’s royal golden treasures (shaped curiously like large foodstuffs...). Kingsguard to the rescue!	['Action', 'Indie', 'Pixel Graphics', 'Local Co-Op', 'Top-Down Shooter', 'Twin Stick Shooter', '2D', 'Top-Down', 'Retro', 'Arcade', 'Arena Shooter', 'Zombies']	['Single-player', 'Shared/Split Screen PvP', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']
f.e.a.r.	Experience the original F.E.A.R. along with F.E.A.R. Extraction Point and F.E.A.R. Perseus Mandate.	['Horror', 'FPS', 'Action', 'Bullet Time', 'Classic', 'Singleplayer', 'Shooter', 'Atmospheric', 'Gore', 'First-Person', 'Psychological Horror', 'Dark', 'Story Rich', 'Sci-fi', 'Jump Scare', 'Great Soundtrack', 'Survival Horror', 'Thriller', 'Old School', 'Multiplayer']	['Single-player']
steam: rails to riches	The official version of one of the best board games - Steam: Rails to Riches. Take control of a railway company, issue shares, build railroads, deliver goods along an network of tracks and stations and make profit to expand.	['Strategy', 'Board Game', 'Casual', 'Indie', 'Hex Grid', 'Trains', '4 Player Local', 'Turn-Based', 'Multiplayer', 'Singleplayer', 'Turn-Based Strategy', 'Family Friendly', 'Asynchronous Multiplayer', 'Local Multiplayer', 'Touch-Friendly', 'Short', 'Colorful', 'Relaxing', '2D', 'Simulation']	['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Cross-Platform Multiplayer', 'Remote Play Together']
a healer only lives twice	All You Need Is Heal! Monsters have cornered you in the dungeon corridors. As a newly hired Priest, your duties are to use your magical abilities to heal your comrade, a Knight on the front-line, and provide support during battle. Will these two brave souls live to see the light of day again?	['Strategy', 'Indie', 'RPG', 'Dungeon Crawler', 'Casual', 'Singleplayer', 'Cute', 'Tactical', 'Real-Time', 'Simulation', 'Cartoony', 'Survival', 'Fantasy', 'Perma Death', 'Linear', 'Top-Down', 'Medieval', 'Atmospheric', 'Controller', 'Great Soundtrack']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']
skat 3d	Realistic 3D Skat simulation with singleplayer, multiplayer and tutorial. With configurable AI strength and many adjustable rule and game variants you can start exciting Skat tournaments - or just play for fun!	['Casual', 'Strategy', 'Simulation', 'Indie', 'Card Game', 'Multiplayer', 'Board Game', 'Singleplayer', 'Family Friendly', 'Mature', 'Local Multiplayer', 'Cult Classic', 'Tabletop', 'Difficult', 'Replay Value', 'Classic']	['Single-player', 'Online PvP', 'LAN PvP', 'Steam Achievements', 'Steam Cloud', 'Stats']
heroes of hellas	Be the hero Olympus needs and rise from its ashes today!	['Adventure', 'Casual', 'Strategy', 'Match 3', 'Singleplayer', 'Indie', 'Addictive']	['Single-player', 'Steam Achievements']
w.a.r	Post Human W.A.R is a turn-based tactical strategy game, set in an absurd post-apocalyptic world. At the dawn of our third millennium, mankind went extinct. Mutated animals, household robots converted for warfare, and monkeys in tracksuits battle it out to decide the fate of the human heritage!	['Strategy', 'Indie', 'Turn-Based', 'Hex Grid', 'Tactical', 'Local Multiplayer', 'Turn-Based Tactics', 'Multiplayer', 'Turn-Based Strategy', 'Post-apocalyptic', 'Funny']	['Single-player', 'Online PvP', 'Shared/Split Screen PvP', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play Together']
gratuitous space battles	Who needs backstory? Who needs resource-gathering? Diplomacy is so last year. Gratuitous Space Battles cuts right to the chase of sci-fi strategy games, and deals with large, completely unjustified space battles between huge opposing space fleets.	['Strategy', 'Auto Battler', 'Space', 'Top-Down', 'Sci-fi', 'Spaceships', 'Sandbox', 'Indie', '2D', 'Building', 'Simulation', 'Singleplayer', 'Moddable', 'Action', 'RTS', 'Difficult', 'Multiplayer', 'Tower Defense', 'Tactical', 'Physics']	['Single-player', 'Steam Trading Cards']
space war	Xenoraid is a vertically scrolling shoot'em up with procedurally driven missions and detailed shooting mechanics. Modern features such as real time fighter switching and squadron management make Xenoraid a fresh and thrilling shooter!	['Action', 'Indie', "Shoot 'Em Up", 'Arcade', 'Shooter', 'Sci-fi', 'Score Attack', 'Survival', 'Space', 'Local Co-Op', 'Great Soundtrack', 'Bullet Hell', 'Local Multiplayer', 'War', 'Co-op', 'Classic', '2D', 'Top-Down', 'Futuristic', 'Top-Down Shooter']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']
khet 2.0	Officially licensed version of the “Mensa Select” award-winning board game! The Laser Game Khet 2.0: Mind blowing laser fun for players ages 9-99. Using simple rules that can be learned in minutes players alternate turns moving Egyptian themed mirrored pieces, after which they fire their laser with the goal of blasting their opponents...	['Asynchronous Multiplayer', 'Board Game', 'Tabletop', 'Indie', 'Strategy', 'Chess', 'Abstract', 'Casual', 'Singleplayer', 'Multiplayer', 'Turn-Based Strategy', 'Family Friendly', 'Local Multiplayer', 'Turn-Based', 'Action', 'Puzzle', 'Education', 'Solitaire', 'Turn-Based Tactics', '2.5D']	['Single-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Stats', 'Steam Leaderboards', 'Steam Turn Notifications']
mojo	"Mojo 2: Mia” is a new version of the famous game “2048”, an original approach to this well-known puzzle. Beautiful Mia will keep you company during the game. The more points you get, the less clothes remain on the girl.	['Sexual Content', 'Free to Play', 'Nudity', 'Anime', 'Casual', 'Indie', 'Mature', 'Hentai', 'Singleplayer', 'Fast-Paced', 'Short', 'Puzzle']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']
starfighter	A space based MMORPG with a focus on ‘dogfighting’ style action and exploration. Features a huge array of ships, imaginative weapons and ship upgrades with more being added all the time. Explore the galaxy, fight other players, form your own organisations, mine asteroids to craft new items, loot rare weapons from alien races, and more...	['RPG', 'Massively Multiplayer', 'Indie', 'Early Access', 'Space', 'VR']	['Single-player', 'MMO', 'Online PvP', 'Tracked Controller Support', 'VR Supported', 'Partial Controller Support']
yoomurjak's ring	Jonathan Hunt, a journalist from New York, arrives in the city of Eger in Hungary for a break. In the heritage of his great-grandfather, he found two letters dated back in 1898, about a time machine. Hunt wants to find out what happened to invention. But he soon realizes that someone isdesperately trying to stop him...	['Adventure', 'FMV', 'Point & Click']	['Single-player']
raven's cry	Vendetta: Curse of Raven’s Cry is a third person, open world action-RPG that combines fast-paced swordplay with thrilling naval battles and exploration. Assume the role of dread pirate Christopher Raven and take your revenge on Captain Neville Scranton and the men who killed your family.	['Action', 'RPG', 'Indie', 'Pirates', 'Open World', 'Singleplayer', 'Adventure']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']
sleeping beauty	Embark on a journey across Sleeping Beauty's dreams! Fabulous atmosphere and magical music! Train your brain with the best classic hidden object game!	['Casual', 'Adventure', 'Hidden Object', 'Puzzle', 'Creature Collector', 'Point & Click', 'Family Friendly', 'Relaxing', 'Cute', 'Hand-drawn', 'Colorful', 'Indie', 'Atmospheric', 'Romance', 'Medieval', 'Female Protagonist', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Steam Leaderboards']
the red solstice	2280 A.D. The last few survivors of a ruined Earth seek a new home: Mars, a planet whose inhabitants didn't take too kindly to outsiders. The Red Solstice is a tense, tactical, squad-based action game. Fight to survive with up to 8 players in co-op, or lead your own squad in single-player mode.	['CRPG', 'Co-op', 'RPG', 'Sci-fi', 'Party-Based RPG', 'Real-Time with Pause', 'Real Time Tactics', 'Multiplayer', 'Real-Time', 'Top-Down', 'Aliens', 'Online Co-Op', 'Singleplayer', 'Kickstarter', 'Tactical', 'Difficult', 'Atmospheric', 'RTS', 'Strategy RPG', 'Team-Based']	['Single-player', 'Online PvP', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Cloud', 'Stats', 'Steam Leaderboards']
interkosmos	Go to space. Save the Future. Try not to Die. Welcome (back) to the world of Interkosmos for an even wilder, weirder and more wondrous adventure.	['VR', 'Space Sim', 'Atmospheric', 'Adventure', 'Simulation', 'Story Rich', 'Comedy', 'Alternate History', 'Narration', 'Space', "1990's", 'Flight', 'Science', 'Physics', 'Funny', 'First-Person', 'Sci-fi', 'Immersive Sim', 'Multiple Endings', 'Singleplayer']	['Single-player', 'Tracked Controller Support', 'VR Only']
karateka	From PRINCE OF PERSIA creator Jordan Mechner, the original side-scrolling karate classic comes to Steam with art by Jeff Matsuda (The Batman) and music by Grammy-winning composer Christopher Tin (CIVILIZATION IV).	['Action', 'Indie', 'Strategy', 'Remake', 'Fighting', 'Rhythm', 'Martial Arts', 'Arcade', 'Classic', 'Side Scroller', 'Retro', '3D Fighter', '1980s', 'Cult Classic', 'Colorful', '3D', 'Anime', 'Old School', 'Combat', 'Great Soundtrack']	['Single-player']
star ruler	Take command of a vast interstellar empire and safeguard your species from total extinction in a procedurally generated 3D galaxy (with the option to flatten it) from 1 System to 10,000+! Prove your species' ingenuity through a deep and intricate combat system where anything (from individual components on ships to the stars themselves)...	['Strategy', 'Indie', 'Space', '4X', 'RTS', 'Sci-fi', 'Grand Strategy', 'Great Soundtrack', 'Singleplayer', 'Multiplayer']	['Single-player']
sepia tears	A visual novel about a memory that a boy named Mark tries very hard to forget, and a girl named Myra who unearths it.	['Visual Novel', 'Romance', 'Emotional', 'Anime', 'Snow', 'Dating Sim', 'Memes', 'Cute', 'Story Rich', 'Text-Based', 'Funny', 'Hand-drawn', 'Narration', 'Comedy', 'Modern', 'Mystery', 'Atmospheric', 'Drama', 'Supernatural', 'Simulation']	['Single-player', 'Steam Achievements', 'Partial Controller Support']
deadly 30	Can you survive the horror? … a retro-style survival horror game developed by the two-man indie team of Gonzossm and Iggy Zuk. Survive 30 days and nights in a zombie-infested world by recruiting companions, upgrading weaponry and fortifying your position.	['Action', 'Indie', 'Zombies', 'Survival', 'Singleplayer', '2D', 'Horror', 'Side Scroller', 'Shooter', 'Retro', 'Platformer', 'Gore', 'Tower Defense', 'Multiplayer']	['Single-player', 'Steam Achievements', 'Steam Trading Cards']
save jesus	Someone is trying to murder Jesus. Disguised as Caesar with the Roman Empire by his side, an evil impostor from the future has set hundreds of deadly traps. Redirect the traps, kill the Romans and protect Jesus!	['Memes', 'Illuminati', 'Casual', 'Cold War', 'Anime', 'Puzzle', 'Fantasy', 'Indie', 'World War II', 'Gore', 'Horror', 'Physics', 'Singleplayer', 'Funny', 'Family Friendly', 'Female Protagonist', 'Hentai', 'Atmospheric', 'Story Rich', 'Comedy']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']
#killallzombies	#KILLALLZOMBIES is an insane twin-stick zombie shooter with Twitch streaming interactions, where you survive hordes of zombies on a dynamically changing arena and spectators may affect gameplay via special Twitch chat commands.	['Action', 'Indie', 'Twin Stick Shooter', 'Zombies', 'Co-op', 'Shooter', "Shoot 'Em Up", 'Top-Down Shooter', 'Bullet Hell', 'Third Person', 'Hex Grid', 'Local Co-Op', 'Action Roguelike', 'Arcade', 'Arena Shooter', 'Top-Down', '3D', 'Choices Matter', 'Female Protagonist', 'PvE']	['Single-player', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards', 'Remote Play on TV', 'Remote Play Together']
avernum 4	Avernum 4 is the first chapter in the Great Trials Trilogy, three games that tell the tale of your land’s struggles in the face of powerful forces that seek to destroy it.	['RPG', 'Indie', 'Isometric', 'Turn-Based', 'Fantasy', 'Old School', 'Party-Based RPG', 'CRPG', 'Singleplayer']	['Single-player']
blocks that matter	When indie game developers Alexey and Markus are in trouble, their only hope comes from their creation.	['Indie', 'Puzzle', 'Platformer', 'Casual', '2D', 'Puzzle Platformer', 'Singleplayer', 'Cute', 'Level Editor', 'Robots']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']
euro fishing	Euro Fishing immerses you deep into the adrenaline-packed action, fun and beauty of Europe’s most famous lakes. Master your rod, line and tactics, and refine your technique to become a top angler. This is the closest you can get to real fishing from the comfort of your own couch.	['Fishing', 'Simulation', 'Sports', 'Multiplayer', 'Singleplayer', 'Hunting', 'Open World', 'Third Person', 'Action', 'First-Person', 'Atmospheric', 'Realistic', 'Replay Value', 'Exploration', 'Tactical', 'Relaxing', 'Asynchronous Multiplayer', 'TrackIR', 'Early Access', 'VR']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards', 'Remote Play on TV']
strania 	Japanese boutique game studio G.rev makes its long-awaited debut on Steam with Strania!	['Action', "Shoot 'Em Up", 'Mechs', 'Bullet Hell', 'Anime', 'Great Soundtrack', 'Arcade', 'Shooter']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam Leaderboards']
eggy	Eggy is a 2.5D artillery platformer where you aim and shoot an egg through a beautiful seamless environment. Egg-splore the world by rolling, swimming and bouncing in search for Eggy's mom.	['Golf', 'Precision Platformer', 'Physics', 'Side Scroller', '2D Platformer', 'Surreal', 'Platformer', '2.5D', 'Psychological Horror', 'Parkour', 'Atmospheric', '3D Vision', 'Linear', 'Action', '2D', 'Realistic', 'Action-Adventure', 'Runner', 'Nature', 'Adventure']	['Single-player', 'Steam Achievements']
black hawk down	Delta Force — Black Hawk Down: Team Sabre is the official expansion pack to the #1 best selling PC game in North America. Team Sabre was developed using the Delta Force — Black Hawk Down engine and it requires the mother product to run.	['Action', 'FPS', 'Shooter', 'First-Person', 'Multiplayer', 'Military']	['Single-player']
laruaville	That's not your regular Match3 game! It requires strategy. Unique game play, plus the town to build, a story and bonus games!	['Match 3', 'Hidden Object', 'Puzzle', 'Solitaire', 'Mahjong', 'Casual', 'Tabletop', 'Board Game', 'City Builder', 'Card Game', 'Sokoban', '2D', 'Demons', 'Family Friendly', 'Fantasy', 'Logic', 'Singleplayer', 'Indie', 'Old School', 'Pool']	['Single-player']
muri	MURI is a DOS-style shooter from Remar Games and Ludosity. Features PC Speaker sound and 16-color EGA graphics.	['Action', 'Platformer', 'Retro', 'Female Protagonist', '2D', 'Indie', 'Sci-fi', 'Pixel Graphics', 'Old School', 'Singleplayer', 'Cute', 'Metroidvania']	['Single-player', 'Steam Trading Cards', 'Partial Controller Support']
fairytale	A turn-based JRPG series featuring a modern presentation with a classic core. Episode 2 resumes the adventure right after the last cliffhanger. Play once more as Haru as he uncovers the mysteries of the cold 'Deeplands', meeting with a mysterious silver haired girl along the way.	['JRPG', 'RPG', 'Indie', 'Adventure', 'Episodic', 'Exploration', 'Atmospheric', 'Cyberpunk', 'Fantasy', 'Futuristic', 'Post-apocalyptic', 'Retro', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Classic', 'Great Soundtrack', 'Turn-Based Strategy', 'CRPG', 'Anime']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']
satazius	The year is 2051. Location: SATAZIUS, a long-abandoned planet. The cruiser Agano was on patrol when it was attacked and stricken by a confederacy of space pirates that had established a base on SATAZIUS. The pirates attacked the Agano intending to steal the assault ship ‘Trafalgar’ that was stowed aboard the Agano, but the Trafalgar made...	["Shoot 'Em Up", 'Bullet Hell', 'Indie', 'Side Scroller', 'Action', 'Arcade', '2D', 'Singleplayer', 'Pixel Graphics', 'Shooter', 'Robots', 'Sci-fi', 'Anime', 'Space', 'Retro', 'Score Attack', 'Casual', '1980s', "1990's", 'Precision Platformer']	['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']
bridge constructor playground	Bridge Constructor Playground offers people of all ages an introduction to the topic of “bridge building”. This game gives you the freedom to let your creative side run riot – nothing is impossible. Across 30 innovative levels you have to build bridges over deep valleys, canals or rivers.	['Casual', 'Simulation', 'Indie', 'RPG', 'Puzzle', 'Physics', 'Singleplayer']	['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards']
napoleon in russia	Napoleons Invasion of Russia began on 24 June 1812 when the Grande Armée crossed the Neman River to engage and attempt to defeat the Russian army.	['Strategy', 'Historical', 'Wargame', 'Turn-Based Strategy', 'Turn-Based Combat']	['Single-player']
necropolis: brutal edition	NECROPOLIS: BRUTAL EDITION is a major update featuring a new playable adventurer (The Brute), a completely new outdoor environment (The Black Forest), and lots of new enemies, weapons, armor, traps, potions, scrolls, and other big improvements to the game.	['Souls-like', 'Action Roguelike', 'Co-op', 'Adventure', 'Roguelike', 'Action', 'Dungeon Crawler', 'Roguelite', 'Difficult', 'Indie', 'Multiplayer', 'Procedural Generation', 'Perma Death', 'Third Person', 'Hack and Slash', 'RPG', 'Great Soundtrack', 'Singleplayer', 'Fantasy', 'Casual']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on TV']
yuri	"First with a kiss... the girl is etched in the protagonist's mind. It was first year in high school. The budding of summer. Fusa Konno met a shut-in girl named Seri. Persecuted by her yearning eyes, her heart gradually opened... Night-time Sheep presents a highly atmospheric romance yuri visual novel"	['LGBTQ+', 'Female Protagonist', 'Casual', 'Indie', 'Anime', 'Visual Novel', 'Sexual Content', 'Nudity']	['Single-player']
gorescript	Gorescript is a classic first person shooter game, inspired by the great old FPS games that defined the genre. Fight your way through 18 handcrafted levels of frantic action paced gameplay, from easy to hardcore levels of difficulty.	['FPS', 'Shooter', 'First-Person', 'Voxel', '3D', 'Controller', 'Action', 'Colorful', 'Retro', 'Old School', 'Combat', 'Indie', 'Singleplayer', 'Great Soundtrack', 'Survival', 'Difficult', 'Action-Adventure', 'Gore', 'Pixel Graphics', 'Free to Play']	['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Leaderboards']
cruisin	Feed the famished masses on a luxury cruise through tropical waters! With a chef's knife in your hand and the warm sun on your back, you'll prep everything from mouthwatering meatballs to succulent sushi as you satisfy the gourmet cravings of the passengers on a grand ocean liner!	['Time Management', 'Clicker', 'Economy', 'Management', 'Cute', 'Isometric', 'Top-Down', 'Cooking', 'Funny', 'Relaxing', 'Linear', 'Casual', 'Simulation', 'Time Manipulation', 'Colorful', 'Family Friendly', 'Score Attack', 'Atmospheric', 'Comedy', 'Adventure']	['Single-player', 'Steam Achievements', 'Steam Cloud']
faraway: puzzle escape	Faraway is an adventure game, a modern tribute to Myst. In Faraway you're an adventurer exploring ruins of ancient temples full of challenges and mysterious riddles.	['Adventure', 'Puzzle', 'First-Person', 'Mystery', 'Casual', 'Minimalist', 'Exploration', 'Singleplayer', 'Family Friendly', 'Logic', 'Story Rich', 'Relaxing', '3D']	['Single-player', 'Steam Achievements', 'Steam Cloud']
